#Safety and Dose Study of Targeted Lung Denervation in Moderate/Severe COPD Patients
1	1	0	6	Safety
1	2	7	10	and
1	3	11	15	Dose
1	4	16	21	Study
1	5	22	24	of
1	6	25	33	Targeted
1	7	34	38	Lung
1	8	39	50	Denervation
1	9	51	53	in
1	10	54	69	Moderate/Severe
1	11	70	74	COPD
1	12	75	83	Patients
#RATIONALE: Targeted lung denervation (TLD) is a novel bronchoscopic treatment for the disruption of parasympathetic innervation of the lungs.
2	1	84	93	RATIONALE
2	2	93	94	:
2	3	95	103	Targeted
2	4	104	108	lung
2	5	109	120	denervation
2	6	121	122	(
2	7	122	125	TLD
2	8	125	126	)
2	9	127	129	is
2	10	130	131	a
2	11	132	137	novel
2	12	138	151	bronchoscopic
2	13	152	161	treatment
2	14	162	165	for
2	15	166	169	the
2	16	170	180	disruption
2	17	181	183	of
2	18	184	199	parasympathetic
2	19	200	211	innervation
2	20	212	214	of
2	21	215	218	the
2	22	219	224	lungs
2	23	224	225	.
#OBJECTIVES: To assess safety, feasibility, and dosing of TLD in patients with moderate to severe COPD using a novel device design.
3	1	368	378	OBJECTIVES
3	2	378	379	:
3	3	380	382	To
3	4	383	389	assess
3	5	390	396	safety
3	6	396	397	,
3	7	398	409	feasibility
3	8	409	410	,
3	9	411	414	and
3	10	415	421	dosing
3	11	422	424	of
3	12	425	428	TLD
3	13	429	431	in
3	14	432	440	patients
3	15	441	445	with
3	16	446	454	moderate
3	17	455	457	to
3	18	458	464	severe
3	19	465	469	COPD
3	20	470	475	using
3	21	476	477	a
3	22	478	483	novel
3	23	484	490	device
3	24	491	497	design
3	25	497	498	.
#METHODS: Thirty patients with COPD (forced expiratory volume in 1 s 30-60%) were 1:1 randomized in a double-blinded fashion to receive TLD with either 29 or 32 W.
4	1	630	637	METHODS
4	2	637	638	:
4	3	639	645	Thirty
4	4	646	654	patients
4	5	655	659	with
4	6	660	664	COPD
4	7	665	666	(
4	8	666	672	forced
4	9	673	683	expiratory
4	10	684	690	volume
4	11	691	693	in
4	12	694	695	1
4	13	696	697	s
4	14	698	700	30
4	15	700	701	-
4	16	701	703	60
4	17	703	704	%
4	18	704	705	)
4	19	706	710	were
4	20	711	714	1:1
4	21	715	725	randomized
4	22	726	728	in
4	23	729	730	a
4	24	731	745	double-blinded
4	25	746	753	fashion
4	26	754	756	to
4	27	757	764	receive
4	28	765	768	TLD
4	29	769	773	with
4	30	774	780	either
4	31	781	783	29
4	32	784	786	or
4	33	787	789	32
4	34	790	792	W.
#Primary endpoint was the rate of TLD-associated adverse airway effects that required treatment through 3 months.
5	1	956	963	Primary
5	2	964	972	endpoint
5	3	973	976	was
5	4	977	980	the
5	5	981	985	rate
5	6	986	988	of
5	7	989	1003	TLD-associated
5	8	1004	1011	adverse
5	9	1012	1018	airway
5	10	1019	1026	effects
5	11	1027	1031	that
5	12	1032	1040	required
5	13	1041	1050	treatment
5	14	1051	1058	through
5	15	1059	1060	3
5	16	1061	1067	months
5	17	1067	1068	.
#Assessments of lung function, quality of life, dyspnea, and exercise capacity were performed at baseline and 1-year follow-up.
6	1	1182	1193	Assessments
6	2	1194	1196	of
6	3	1197	1201	lung
6	4	1202	1210	function
6	5	1210	1211	,
6	6	1212	1219	quality
6	7	1220	1222	of
6	8	1223	1227	life
6	9	1227	1228	,
6	10	1229	1236	dyspnea
6	11	1236	1237	,
6	12	1238	1241	and
6	13	1242	1250	exercise
6	14	1251	1259	capacity
6	15	1260	1264	were
6	16	1265	1274	performed
6	17	1275	1277	at
6	18	1278	1286	baseline
6	19	1287	1290	and
6	20	1291	1297	1-year
6	21	1298	1307	follow-up
6	22	1307	1308	.
#An additional 16 patients were enrolled in an open-label confirmation phase study to confirm safety improvements after procedural enhancements following gastrointestinal adverse events during the randomized part of the trial.
7	1	1436	1438	An
7	2	1439	1449	additional
7	3	1450	1452	16
7	4	1453	1461	patients
7	5	1462	1466	were
7	6	1467	1475	enrolled
7	7	1476	1478	in
7	8	1479	1481	an
7	9	1482	1492	open-label
7	10	1493	1505	confirmation
7	11	1506	1511	phase
7	12	1512	1517	study
7	13	1518	1520	to
7	14	1521	1528	confirm
7	15	1529	1535	safety
7	16	1536	1548	improvements
7	17	1549	1554	after
7	18	1555	1565	procedural
7	19	1566	1578	enhancements
7	20	1579	1588	following
7	21	1589	1605	gastrointestinal
7	22	1606	1613	adverse
7	23	1614	1620	events
7	24	1621	1627	during
7	25	1628	1631	the
7	26	1632	1642	randomized
7	27	1643	1647	part
7	28	1648	1650	of
7	29	1651	1654	the
7	30	1655	1660	trial
7	31	1660	1661	.
#RESULTS: Procedural success, defined as device success without an in-hospital serious adverse event, was 96.7% (29/30).
8	1	1888	1895	RESULTS
8	2	1895	1896	:
8	3	1897	1907	Procedural
8	4	1908	1915	success
8	5	1915	1916	,
8	6	1917	1924	defined
8	7	1925	1927	as
8	8	1928	1934	device
8	9	1935	1942	success
8	10	1943	1950	without
8	11	1951	1953	an
8	12	1954	1965	in-hospital
8	13	1966	1973	serious
8	14	1974	1981	adverse
8	15	1982	1987	event
8	16	1987	1988	,
8	17	1989	1992	was
8	18	1993	1997	96.7
8	19	1997	1998	%
8	20	1999	2000	(
8	21	2000	2005	29/30
8	22	2005	2006	)
8	23	2006	2007	.
#The rate of TLD-associated adverse airway effects requiring intervention was 3/15 in the 32 W versus 1/15 in the 29 W group, p = 0.6.
9	1	2128	2131	The
9	2	2132	2136	rate
9	3	2137	2139	of
9	4	2140	2154	TLD-associated
9	5	2155	2162	adverse
9	6	2163	2169	airway
9	7	2170	2177	effects
9	8	2178	2187	requiring
9	9	2188	2200	intervention
9	10	2201	2204	was
9	11	2205	2209	3/15
9	12	2210	2212	in
9	13	2213	2216	the
9	14	2217	2219	32
9	15	2220	2221	W
9	16	2222	2228	versus
9	17	2229	2233	1/15
9	18	2234	2236	in
9	19	2237	2240	the
9	20	2241	2243	29
9	21	2244	2245	W
9	22	2246	2251	group
9	23	2251	2252	,
9	24	2253	2254	p
9	25	2255	2256	=
9	26	2257	2260	0.6
9	27	2260	2261	.
#Five patients early in the randomized phase experienced serious gastric events.
10	1	2396	2400	Five
10	2	2401	2409	patients
10	3	2410	2415	early
10	4	2416	2418	in
10	5	2419	2422	the
10	6	2423	2433	randomized
10	7	2434	2439	phase
10	8	2440	2451	experienced
10	9	2452	2459	serious
10	10	2460	2467	gastric
10	11	2468	2474	events
10	12	2474	2475	.
#The study was stopped and procedural changes made that reduced both gastrointestinal and airway events in the subsequent phase of the randomized trial and follow-up confirmation study.
11	1	2556	2559	The
11	2	2560	2565	study
11	3	2566	2569	was
11	4	2570	2577	stopped
11	5	2578	2581	and
11	6	2582	2592	procedural
11	7	2593	2600	changes
11	8	2601	2605	made
11	9	2606	2610	that
11	10	2611	2618	reduced
11	11	2619	2623	both
11	12	2624	2640	gastrointestinal
11	13	2641	2644	and
11	14	2645	2651	airway
11	15	2652	2658	events
11	16	2659	2661	in
11	17	2662	2665	the
11	18	2666	2676	subsequent
11	19	2677	2682	phase
11	20	2683	2685	of
11	21	2686	2689	the
11	22	2690	2700	randomized
11	23	2701	2706	trial
11	24	2707	2710	and
11	25	2711	2720	follow-up
11	26	2721	2733	confirmation
11	27	2734	2739	study
11	28	2739	2740	.
#Improvements in lung function and quality of life were observed compared to baseline values for both doses but were not statistically different.
12	1	2926	2938	Improvements
12	2	2939	2941	in
12	3	2942	2946	lung
12	4	2947	2955	function
12	5	2956	2959	and
12	6	2960	2967	quality
12	7	2968	2970	of
12	8	2971	2975	life
12	9	2976	2980	were
12	10	2981	2989	observed
12	11	2990	2998	compared
12	12	2999	3001	to
12	13	3002	3010	baseline
12	14	3011	3017	values
12	15	3018	3021	for
12	16	3022	3026	both
12	17	3027	3032	doses
12	18	3033	3036	but
12	19	3037	3041	were
12	20	3042	3045	not
12	21	3046	3059	statistically
12	22	3060	3069	different
12	23	3069	3070	.
#CONCLUSIONS: The results demonstrate acceptable safety and feasibility of TLD in patients with COPD, with improvements in adverse event rates after procedural enhancements.
13	1	3216	3227	CONCLUSIONS
13	2	3227	3228	:
13	3	3229	3232	The
13	4	3233	3240	results
13	5	3241	3252	demonstrate
13	6	3253	3263	acceptable
13	7	3264	3270	safety
13	8	3271	3274	and
13	9	3275	3286	feasibility
13	10	3287	3289	of
13	11	3290	3293	TLD
13	12	3294	3296	in
13	13	3297	3305	patients
13	14	3306	3310	with
